source,app_name,app_id,review_id,review_title,review_text,rating,user_name,review_date,developer_response,country,extracted_at
Apple App Store,agora-ahorra-y-disfruta,1478814349,14162131989,Pésimo,"Compré a través de agora, me llamaron luego de realizar el pago para informar que no había el producto y acordamos la devolución del monto, posteriormente nunca se me fue reembolsado ni tampoco se me entregó el producto cuando estuvo en stock.",1,{'label': 'Usuaria 96'},2026-06-09 13:06:45+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14158835093,No se puede pagar,"Cada vez que intento agregar una tarjeta para proceder con el pago me sale un mensaje de error, y este inconveniente lo vengo presentando desde el año pasado y nadie me da solución, al inicio funcionaba bien pero ya no, las actualizaciones en vez de mejorar lo empeoraron.",1,{'label': 'Jorge086'},2026-06-08 15:52:31+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14158817434,Rechaza mi tarjeta,"Hace tiempo cambié de equipo de teléfono y por eso no me deja utilizar la app diciendo que mi tarjeta no está bien , pero cuando voy físicamente a plaza vea si puedo pagar",1,{'label': 'Verónica Fernández'},2026-06-08 15:47:07+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14148928290,La app no es buena,"Me gusta comorar por agora, pero de verdad que la aplicación funciona bastante mal. Por ejemplo, cuando quiero abrir mis pedidos la app se cierra inesperadamente.",3,{'label': 'Mikaela_ba1997'},2026-06-06 01:44:40+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14142018845,App no sirve,"Cambie de número y no me deja entrar a la app, intente enviar lo que me piden y que no es la misma cara dicen, luego por Whatsap igual no me ayudaron porque responde un robot, pésimo servicio",1,{'label': 'carolayyy'},2026-06-04 07:37:16+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14137819940,"Servicio bueno, app malisima","me gustaria que porfavor hagan un reboot de toda la app que tiene muchos errores, una de ellas es que se cierre la app a cada rato",2,{'label': 'Amadodd'},2026-06-03 04:52:47+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14128127728,Error al pagar con QR de la app,"Error al pagar con QR: al escanear en cualquier farmacias, el código de 4 dígitos no se genera o no carga. Por favor, solicito su ayuda para solucionar este fallo de la app. Gracias.",1,{'label': 'IngMarcoAntonio'},2026-05-31 17:40:19+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14125378889,Cuando ingreso a Mis pedidos me saca de la sesión,"Todo bien con la selección y compra de productos, pero cuando volvía a entrar al app para ver el estado de mi pedido, entré a Mis Pedidos desde el Menú, me sacaba y cerraba sesión, me paso hasta 4 veces",2,{'label': 'Estado de cuenta en la app'},2026-05-31 00:47:53+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14120955433,Muy mal aplicativo,"Lamentablemente ha sido puesto como vínculo con Plaza Vea, app no sirve para nada!!!!",1,{'label': 'atencion mala'},2026-05-29 21:30:29+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,14076281789,La app se cierra,"Desde el día sábado 16/05 está fallando la app en varias opciones para visualizar el saldo o transferir, automáticamente se cierra la app. A pesar de desinstalar la app, persiste el inconveniente.",3,{'label': 'renzovargas'},2026-05-17 21:42:02+00:00,,pe,2026-06-16T15:55:16.694950
