source,app_name,app_id,review_id,review_title,review_text,rating,user_name,review_date,developer_response,country,extracted_at
Apple App Store,nueva-banbif-app,6736497481,14178632136,Está volando!,Cada vez más simple y más rápida y con nuevas funcionalidades !,5,{'label': 'Jorge Luis Sifuentes'},2026-06-13 17:20:51+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14176319782,Pésimo,"No funciona con usuarios nuevos, llevo 3 meses intentando crear mi clave y me aparece que intente más tarde",1,{'label': 'Jimeneyra'},2026-06-13 03:23:48+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14162483368,No accede con Face ID,No me deja ingresar con el Face ID,1,{'label': 'Greisygs'},2026-06-09 14:51:08+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14156122851,Crashea en iOS 15.8.8,"Permite instalar su última versión en iOS 15.8.8 pero apenas se abre, se cierra completamente.",1,{'label': 'Dunkelheit 1'},2026-06-07 21:49:09+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14136271188,Muy buena,Excelente!,5,{'label': 'MFig17'},2026-06-02 18:51:18+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14131110294,Me encanta,mejoró bastante,5,{'label': 'Andreisssssss'},2026-06-01 12:58:15+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14113770205,Funcionalidad,Buenaza! Muy buenas funcionalidades!,5,{'label': 'gzp98gzp'},2026-05-28 00:39:03+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14111604968,Se cierra el Ap,Desde hace más de un mes al querer abrirlo y usarlo se cierra inmediatamente y es muy estresante pensaba que con una actualización se solucionaría. Lo uso en un iPhone 12 Pro Max,1,{'label': 'Alejandro Luján P.'},2026-05-27 12:04:43+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14086799001,Excelente App !!,"La actualización está muy buena, tiene una nueva función de Yape/Plin por voice que es súper práctica",5,{'label': 'KCB2058'},2026-05-20 19:44:34+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083545191,Reseña,Súper rápida!!,5,{'label': 'Miky Racing'},2026-05-19 22:20:59+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083495258,App mejorada,La nueva app es mucho mas facil en todo procedimiento,5,{'label': 'oarias21'},2026-05-19 22:00:12+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083491490,Al fin buenos devs,Gracias por el pago por qr,5,{'label': 'Assault10'},2026-05-19 21:58:37+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083361132,Buena app,La app es súper rápida,5,{'label': 'Meliza 20'},2026-05-19 21:05:59+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083361007,Buena app,Excelente app,5,{'label': 'Susan Dávila'},2026-05-19 21:05:56+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083358639,App Banbif,Buena app la mejor,5,{'label': 'Oscar.0999'},2026-05-19 21:04:59+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083334202,Banbif,Muy buena app,5,{'label': 'SharonAngeles2003'},2026-05-19 20:55:15+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14083333991,BanBif,Muy buena app,5,{'label': 'JJ412430'},2026-05-19 20:55:10+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14060380227,Muy bueno el aplicativo,Muy practico y sencillo,5,{'label': 'Rebeee123'},2026-05-13 16:07:08+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14060378230,Excelente app,"Me gustó mucho, muy funcional.",5,{'label': 'Moni Oceda'},2026-05-13 16:06:28+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14060378015,Mucho mejor,Ampliamente mejorada con respecto a la app anterior,5,{'label': 'Franco5697'},2026-05-13 16:06:25+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14060376098,Muy buena,Buenazo,5,{'label': 'ShiMiii6754'},2026-05-13 16:05:49+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14060375453,Nueva actualización,Se ve muy bueno todo y ahora permite hacer transferencia con voz,5,{'label': 'Ngtr2000'},2026-05-13 16:05:36+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14040360295,Excelente app!,Tiene un diseño inteligente y es muy fácil de usar para nuevos usuarios,5,{'label': 'lety wv'},2026-05-08 04:53:29+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14040354516,!!!,Es una app muy útil y efectiva ! Cumple con todas las funciones necesarias para transacciones,5,{'label': 'Jasmine RW'},2026-05-08 04:50:30+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14039895944,Excelente app,Al fin pagos QR!!! Muy bien,5,{'label': 'AlvaroG0307'},2026-05-08 01:15:59+00:00,,pe,2026-06-16T16:06:10.544043
